region,inferenceProfileId,inferenceProfileName,inferenceProfileArn,type,status,models
us-east-1,us.twelvelabs.pegasus-1-2-v1:0,US Pegasus v1.2,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.twelvelabs.pegasus-1-2-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/twelvelabs.pegasus-1-2-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/twelvelabs.pegasus-1-2-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-1::foundation-model/twelvelabs.pegasus-1-2-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/twelvelabs.pegasus-1-2-v1:0""}]"
us-east-1,us.stability.stable-conservative-upscale-v1:0,US Stable Image Conservative Upscale,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.stability.stable-conservative-upscale-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/stability.stable-conservative-upscale-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/stability.stable-conservative-upscale-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/stability.stable-conservative-upscale-v1:0""}]"
us-east-1,us.twelvelabs.marengo-embed-2-7-v1:0,US TwelveLabs Marengo Embed v2.7,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.twelvelabs.marengo-embed-2-7-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/twelvelabs.marengo-embed-2-7-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/twelvelabs.marengo-embed-2-7-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/twelvelabs.marengo-embed-2-7-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-1::foundation-model/twelvelabs.marengo-embed-2-7-v1:0""}]"
us-east-1,us.stability.stable-creative-upscale-v1:0,US Stable Image Creative Upscale,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.stability.stable-creative-upscale-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/stability.stable-creative-upscale-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/stability.stable-creative-upscale-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/stability.stable-creative-upscale-v1:0""}]"
us-east-1,us.stability.stable-fast-upscale-v1:0,US Stable Image Fast Upscale,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.stability.stable-fast-upscale-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/stability.stable-fast-upscale-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/stability.stable-fast-upscale-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/stability.stable-fast-upscale-v1:0""}]"
us-east-1,us.stability.stable-image-control-sketch-v1:0,US Stable Image Control Sketch,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.stability.stable-image-control-sketch-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/stability.stable-image-control-sketch-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/stability.stable-image-control-sketch-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/stability.stable-image-control-sketch-v1:0""}]"
us-east-1,us.stability.stable-image-control-structure-v1:0,US Stable Image Control Structure,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.stability.stable-image-control-structure-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/stability.stable-image-control-structure-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/stability.stable-image-control-structure-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/stability.stable-image-control-structure-v1:0""}]"
us-east-1,us.stability.stable-image-erase-object-v1:0,US Stable Image Erase Object,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.stability.stable-image-erase-object-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/stability.stable-image-erase-object-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/stability.stable-image-erase-object-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/stability.stable-image-erase-object-v1:0""}]"
us-east-1,us.stability.stable-image-inpaint-v1:0,US Stable Image Inpaint,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.stability.stable-image-inpaint-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/stability.stable-image-inpaint-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/stability.stable-image-inpaint-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/stability.stable-image-inpaint-v1:0""}]"
us-east-1,us.stability.stable-image-remove-background-v1:0,US Stable Image Remove Background,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.stability.stable-image-remove-background-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/stability.stable-image-remove-background-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/stability.stable-image-remove-background-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/stability.stable-image-remove-background-v1:0""}]"
us-east-1,us.stability.stable-image-search-replace-v1:0,US Stable Image Search and Replace,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.stability.stable-image-search-replace-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/stability.stable-image-search-replace-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/stability.stable-image-search-replace-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/stability.stable-image-search-replace-v1:0""}]"
us-east-1,us.stability.stable-image-search-recolor-v1:0,US Stable Image Search and Recolor,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.stability.stable-image-search-recolor-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/stability.stable-image-search-recolor-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/stability.stable-image-search-recolor-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/stability.stable-image-search-recolor-v1:0""}]"
us-east-1,us.stability.stable-image-style-guide-v1:0,US Stable Image Style Guide,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.stability.stable-image-style-guide-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/stability.stable-image-style-guide-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/stability.stable-image-style-guide-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/stability.stable-image-style-guide-v1:0""}]"
us-east-1,us.stability.stable-outpaint-v1:0,US Stable Image Outpaint,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.stability.stable-outpaint-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/stability.stable-outpaint-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/stability.stable-outpaint-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/stability.stable-outpaint-v1:0""}]"
us-east-1,us.stability.stable-style-transfer-v1:0,US Stable Image Style Transfer,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.stability.stable-style-transfer-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/stability.stable-style-transfer-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/stability.stable-style-transfer-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/stability.stable-style-transfer-v1:0""}]"
us-east-1,us.cohere.embed-v4:0,US Cohere Embed v4,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.cohere.embed-v4:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/cohere.embed-v4:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/cohere.embed-v4:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/cohere.embed-v4:0""}]"
us-east-1,global.cohere.embed-v4:0,Global Cohere Embed v4,arn:aws:bedrock:us-east-1:496714466045:inference-profile/global.cohere.embed-v4:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:::foundation-model/cohere.embed-v4:0""},{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/cohere.embed-v4:0""}]"
us-east-1,us.twelvelabs.marengo-embed-3-0-v1:0,US TwelveLabs Marengo Embed 3.0,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.twelvelabs.marengo-embed-3-0-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/twelvelabs.marengo-embed-3-0-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/twelvelabs.marengo-embed-3-0-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/twelvelabs.marengo-embed-3-0-v1:0""}]"
us-east-1,global.twelvelabs.pegasus-1-2-v1:0,GLOBAL TwelveLabs Pegasus v1.2,arn:aws:bedrock:us-east-1:496714466045:inference-profile/global.twelvelabs.pegasus-1-2-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:::foundation-model/twelvelabs.pegasus-1-2-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/twelvelabs.pegasus-1-2-v1:0""}]"
us-east-1,us.writer.palmyra-x4-v1:0,US Writer Palmyra X4,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.writer.palmyra-x4-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/writer.palmyra-x4-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/writer.palmyra-x4-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/writer.palmyra-x4-v1:0""}]"
us-east-1,us.writer.palmyra-x5-v1:0,US Writer Palmyra X5,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.writer.palmyra-x5-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/writer.palmyra-x5-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/writer.palmyra-x5-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/writer.palmyra-x5-v1:0""}]"
us-east-1,global.amazon.nova-2-lite-v1:0,GLOBAL Amazon Nova 2 Lite,arn:aws:bedrock:us-east-1:496714466045:inference-profile/global.amazon.nova-2-lite-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:::foundation-model/amazon.nova-2-lite-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/amazon.nova-2-lite-v1:0""}]"
us-east-1,us.anthropic.claude-opus-4-1-20250805-v1:0,US Claude Opus 4.1,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.anthropic.claude-opus-4-1-20250805-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-opus-4-1-20250805-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/anthropic.claude-opus-4-1-20250805-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/anthropic.claude-opus-4-1-20250805-v1:0""}]"
us-east-1,us.anthropic.claude-opus-4-5-20251101-v1:0,US Anthropic Claude Opus 4.5,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.anthropic.claude-opus-4-5-20251101-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-opus-4-5-20251101-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/anthropic.claude-opus-4-5-20251101-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/anthropic.claude-opus-4-5-20251101-v1:0""}]"
us-east-1,us.anthropic.claude-opus-4-7,US Anthropic Claude Opus 4.7,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.anthropic.claude-opus-4-7,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-opus-4-7""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/anthropic.claude-opus-4-7""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/anthropic.claude-opus-4-7""}]"
us-east-1,us.anthropic.claude-sonnet-4-5-20250929-v1:0,US Anthropic Claude Sonnet 4.5,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-sonnet-4-5-20250929-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/anthropic.claude-sonnet-4-5-20250929-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/anthropic.claude-sonnet-4-5-20250929-v1:0""}]"
us-east-1,us.amazon.nova-micro-v1:0,US Nova Micro,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.amazon.nova-micro-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/amazon.nova-micro-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/amazon.nova-micro-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/amazon.nova-micro-v1:0""}]"
us-east-1,us.anthropic.claude-sonnet-4-20250514-v1:0,US Claude Sonnet 4,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.anthropic.claude-sonnet-4-20250514-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-sonnet-4-20250514-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/anthropic.claude-sonnet-4-20250514-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/anthropic.claude-sonnet-4-20250514-v1:0""}]"
us-east-1,global.anthropic.claude-sonnet-4-20250514-v1:0,Global Claude Sonnet 4,arn:aws:bedrock:us-east-1:496714466045:inference-profile/global.anthropic.claude-sonnet-4-20250514-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:::foundation-model/anthropic.claude-sonnet-4-20250514-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-sonnet-4-20250514-v1:0""}]"
us-east-1,global.anthropic.claude-sonnet-4-5-20250929-v1:0,Global Claude Sonnet 4.5,arn:aws:bedrock:us-east-1:496714466045:inference-profile/global.anthropic.claude-sonnet-4-5-20250929-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:::foundation-model/anthropic.claude-sonnet-4-5-20250929-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-sonnet-4-5-20250929-v1:0""}]"
us-east-1,global.anthropic.claude-opus-4-5-20251101-v1:0,GLOBAL Anthropic Claude Opus 4.5,arn:aws:bedrock:us-east-1:496714466045:inference-profile/global.anthropic.claude-opus-4-5-20251101-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:::foundation-model/anthropic.claude-opus-4-5-20251101-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-opus-4-5-20251101-v1:0""}]"
us-east-1,us.meta.llama4-maverick-17b-instruct-v1:0,US Llama 4 Maverick 17B Instruct,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.meta.llama4-maverick-17b-instruct-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/meta.llama4-maverick-17b-instruct-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/meta.llama4-maverick-17b-instruct-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/meta.llama4-maverick-17b-instruct-v1:0""}]"
us-east-1,us.meta.llama4-scout-17b-instruct-v1:0,US Llama 4 Scout 17B Instruct,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.meta.llama4-scout-17b-instruct-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/meta.llama4-scout-17b-instruct-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/meta.llama4-scout-17b-instruct-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/meta.llama4-scout-17b-instruct-v1:0""}]"
